SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,tree_species,Canopy,Tree,Day,Month,shedding,month,Year,season,sample_type,INC,legent1,lane,Temperature,Precipitation,Humidity,VPD,GI,RI,Description
C01S17,Pear_bowtie_mothurQC_C01S17_F649_R889.fasta,Core-01-S17-Exo-T300S2_S17_L001_R1_001.fastq,107788,83164,83008,70635,47023,30576,1142.507042,605,30.51519,4.355884427,Acacia,Shizaf,A. tortilis,South,300,24,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_T,C01,15.3,18.8,67,645,0.35,0.362,Epi_T300_1_S
C01S92,Pear_bowtie_mothurQC_C01S92_F649_R889.fasta,Core-01-S92-Endo-R284S4_S92_L001_R1_001.fastq,104095,91044,90876,79126,51293,9085,325.5555556,200,11.6001,2.888683799,Acacia,Shizaf,A. raddiana,South,284,24,3,new,March,2015,Winter,Endophytes,core_all,Endo_R,C01,21.4,21.6,30,1893,0.3485536368,0.371,Endo_R284_3_S
C01S91,Pear_bowtie_mothurQC_C01S91_F649_R889.fasta,Core-01-S91-Endo-R286S4_S91_L001_R1_001.fastq,114596,99160,98961,85467,57602,23672,456.1875,193,12.14665,2.31439699,Acacia,Shizaf,A. raddiana,South,286,24,3,new,March,2015,Winter,Endophytes,core_all,Endo_R,C01,21.4,21.6,30,1893,0.348,0.369,Endo_R286_3_S
C01S65,Pear_bowtie_mothurQC_C01S65_F649_R889.fasta,Core-01-S65-Endo-T23S4_S65_L001_R1_001.fastq,84736,73601,73448,63286,54291,14204,545.8333333,200,12.93175,3.268661666,Acacia,Shizaf,A. tortilis,South,23,24,3,new,March,2015,Winter,Endophytes,core_all,Endo_T,C01,21.4,21.6,30,1893,0.3483253117,0.361,Endo_T23_3_S
C01S64,Pear_bowtie_mothurQC_C01S64_F649_R889.fasta,Core-01-S64-Endo-T300N2_S64_L001_R1_001.fastq,90857,79402,79270,67173,54107,51095,208.375,88,5.70882,1.426308023,Acacia,Shizaf,A. tortilis,South,300,24,3,new,March,2015,Winter,Endophytes,core_all,Endo_T,C01,21.4,21.6,30,1893,0.3483253117,0.361,Endo_T300_3_S
L6S21,Pear_bowtie_mothurQC_L6S21_F649_R889.fasta,03-15-R01C1_S21_L001_R1_001.fastq,210176,162051,161746,123833,49739,3722,483.8717949,261,16.87861,3.225684212,Acacia,Shizaf,A. raddiana,Center,284,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.3485536368,0.371,Epi_R284_3_C
L6S24,Pear_bowtie_mothurQC_L6S24_F649_R889.fasta,03-15-R02C1_S24_L001_R1_001.fastq,227609,169455,169101,128240,49042,4318,408.125,275,16.50344,6.217120866,Acacia,Shizaf,A. raddiana,Center,286,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.348,0.369,Epi_R286_3_C
L6S19,Pear_bowtie_mothurQC_L6S19_F649_R889.fasta,03-15-R01N1_S19_L001_R1_001.fastq,156419,101718,101503,78421,25700,1089,481,226,15.32315,5.814721022,Acacia,Shizaf,A. raddiana,North,284,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.3485536368,0.371,Epi_R284_3_N
L6S22,Pear_bowtie_mothurQC_L6S22_F649_R889.fasta,03-15-R02N1_S22_L001_R1_001.fastq,275690,212342,211583,153392,65163,60751,877.9,589,26.67462,6.23759477,Acacia,Shizaf,A. raddiana,North,286,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.348,0.369,Epi_R286_3_N
L6S20,Pear_bowtie_mothurQC_L6S20_F649_R889.fasta,03-15-R01S2_S20_L001_R1_001.fastq,159935,119704,119326,89266,43641,10484,1222.222222,794,33.18568,6.28148932,Acacia,Shizaf,A. raddiana,South,284,24,3,new,March,2015,Winter,Epiphytes,core_all,Epi_R,6,21.4,21.6,30,1893,0.3485536368,0.371,Epi_R284_3_S
